item_name,group,price,image_files,image_count,has_images
Healthy Tandoori Combo,Healthy Combos,,Healthy_Tandoori_Combo.jpg,1,Yes
Lemonade (Fountain),Soft Drinks,,Lemonade_Fountain.jpg,1,Yes
Chettinad Shrimp Masala,Shrimp Curries,,,0,No
Vegetable Pakora,Vegetarian Appetizers,,Vegetable_Pakora.jpg,1,Yes
Healthy Malai Kebab Combo,Healthy Combos,,Healthy_Malai_Kebab_Combo.jpg,1,Yes
Chicken Sheek Kebab,Non-Vegetarian Appetizers,,Chicken_Sheek_Kebab.jpg,1,Yes
Mughlai Chicken Korma,Chicken Curries,,,0,No
Pongal,Rice Corner,,Pongal.jpg,1,Yes
Rava Dosa,Dosa,,Rava_Dosa.jpg,1,Yes
Lamb Biriyani,Rice Corner,,,0,No
Veg Fried Rice,Indo-Chinese,,Veg_Fried_Rice.jpg,1,Yes
Lamb Tikka Masala,Lamb Curries,,,0,No
Paneer Mutter Mushroom,Vegetarian Curries,,,0,No
Idly Vada,Vegetarian Appetizers,,Idly_Vada.jpg,1,Yes
Garlic Naan,Bread Corner,,Garlic_Naan.jpg,1,Yes
Salt Lassi,Lassi,,Salt_Lassi.jpg,1,Yes
Cheese Omelette,Non-Vegetarian Appetizers,,Cheese_Omelette.jpg,1,Yes
Coke (Fountain),Soft Drinks,,Coke_Fountain.jpg,1,Yes
Chilli Chicken (Dry),Indo-Chinese,,,0,No
Healthy Paneer Combo,Healthy Combos,,Healthy_Paneer_Combo.jpg,1,Yes
Panner Naan,Bread Corner,,,0,No
Ghee Roast,Dosa,,,0,No
Chennai Paper Roast,Dosa,,Chennai_Paper_Roast.jpg,1,Yes
Lamb Vindaloo,Lamb Curries,,,0,No
Sweet Lassi,Lassi,,Sweet_Lassi.jpg,1,Yes
Ghee,Extras,,,0,No
Onion Uttapam,Dosa,,,0,No
Chicken Rogan Josh,Chicken Curries,,,0,No
Lamb Chukka,Lamb Curries,,Lamb_Chukka.jpg,1,Yes
Vegetable Cutlet,Vegetarian Appetizers,,Vegetable_Cutlet.jpg,1,Yes
Onion Tomato Chilli Uttapam,Dosa,,,0,No
Sambar @Table,Extras,,,0,No
Veg Noodles,Indo-Chinese,,Veg_Noodles.jpg,1,Yes
Masala Ghee Roast,Dosa,,,0,No
Egg Noodles,Indo-Chinese,,Egg_Noodles.jpg,1,Yes
Salad,Extras,,,0,No
Malabar Fish Curry,Fish Curries,,,0,No
Paneer Tikka Masala,Vegetarian Curries,,,0,No
Lamb Rogan Josh,Lamb Curries,,,0,No
Naan,Bread Corner,,Naan.jpg,1,Yes
Extra Poori,Bread Corner,,,0,No
Paneer Vindaloo,Vegetarian Curries,,,0,No
Fanta (Bottle),Soft Drinks,,Fanta_Bottle.jpg,1,Yes
Butter Naan,Bread Corner,,Butter_Naan.jpg,1,Yes
Onion Rava Dosa,Dosa,,,0,No
Healthy Chicken Tikka Combo,Healthy Combos,,Healthy_Chicken_Tikka_Combo.jpg,1,Yes
Onion Chilli Rava Masala Dosa,Dosa,,,0,No
Chennai Family Dosa,Dosa,,,0,No
Masala Dosa,Dosa,,,0,No
Vegetable Biriyani,Rice Corner,,,0,No
Plain Dosa,Dosa,,,0,No
Mango Lassi,Lassi,,Mango_Lassi.jpg,1,Yes
Tamarind Rice,Rice Corner,,Tamarind_Rice.jpg,1,Yes
Onion Kulcha,Bread Corner,,Onion_Kulcha.jpg,1,Yes
Baigan Bhartha,Vegetarian Curries,,,0,No
Chicken Saag,Chicken Curries,,,0,No
Thair Vada,Vegetarian Appetizers,,Thair_Vada.jpg,1,Yes
Egg Biriyani,Rice Corner,,Egg_Biriyani.jpg,1,Yes
Onion Dosa,Dosa,,,0,No
Shrimp Saag,Shrimp Curries,,,0,No
Shrimp Fried Rice,Indo-Chinese,,Shrimp_Fried_Rice.jpg,1,Yes
Gobi Manchurian,Indo-Chinese,,Gobi_Manchurian.jpg,1,Yes
Channa (Chole) Masala,Vegetarian Curries,,,0,No
Sambar,Extras,,,0,No
Strawberry Lassi,Lassi,,Strawberry_Lassi.jpg,1,Yes
Payasam,Dessert,,,0,No
Muglai Lamb Korma,Lamb Curries,,,0,No
Sambar Vada,Vegetarian Appetizers,,Sambar_Vada.jpg,1,Yes
Egg Curry,Vegetarian Curries,,,0,No
Aloo Gobi Masala,Vegetarian Curries,,,0,No
Rice,Extras,,,0,No
Chicken Jalfrezi,Chicken Curries,,,0,No
Goat Curry,Lamb Curries,,,0,No
Masala Omelette,Non-Vegetarian Appetizers,,Masala_Omelette.jpg,1,Yes
Mango Kulfi,Dessert,,,0,No
Fresh Lime Soda,Soft Drinks,,Fresh_Lime_Soda.jpg,1,Yes
Chicken Vindaloo,Chicken Curries,,,0,No
Rasam,Extras,,,0,No
Lamb (Butter Masala) Makhani,Lamb Curries,,,0,No
Chappati,Bread Corner,,Chappati.jpg,1,Yes
Chilli Uttapam,Dosa,,,0,No
Lamb Chettinad,Lamb Curries,,,0,No
Paneer Bhurji Dosa,Dosa,,,0,No
Chicken Noodles,Indo-Chinese,,Chicken_Noodles.jpg,1,Yes
Kadai Panner,Vegetarian Curries,,,0,No
Mutter Paneer,Vegetarian Curries,,,0,No
Raita @Table,Extras,,,0,No
Carrot Halwa w/ Vanilla Ice Cream,Dessert,,,0,No
Ice Tea (Fountain),Soft Drinks,,Ice_Tea_Fountain.jpg,1,Yes
Mini Cheese Dosa,Kids Corner,,,0,No
Sprite (Bottle),Soft Drinks,,Sprite_Bottle.jpg,1,Yes
Mini Idly,Kids Corner,,Mini_Idly.jpg,1,Yes
Non-Vegetarian Combo,Lunch Combo,,Non-Vegetarian_Combo.jpg,1,Yes
Paneer (Butter Masala) Makhani,Vegetarian Curries,,,0,No
Tomato Uttapam,Dosa,,,0,No
Chettinad Vegetable Curry,Vegetarian Curries,,,0,No
Carrot Halwa,Dessert,,,0,No
Chicken Tikka Masala,Chicken Curries,,Chicken_Tikka_Masala.jpg,1,Yes
Chicken Manchurian,Indo-Chinese,,Chicken_Manchurian.png,1,Yes
Palak Paneer,Vegetarian Curries,,,0,No
Tandoori Sampler,Non-Vegetarian Appetizers,,Tandoori_Sampler.jpg,1,Yes
Diet Coke (Fountain),Soft Drinks,,Diet_Coke_Fountain.jpg,1,Yes
Onion Rava Masala Dosa,Dosa,,,0,No
Chilli Chicken (Gravy),Indo-Chinese,,,0,No
Chicken Curry,Chicken Curries,,,0,No
Healthy  Chicken Sheek Kebab,Healthy Combos,,Healthy__Chicken_Sheek_Kebab.jpg,1,Yes
Chennai Fish Curry,Fish Curries,,,0,No
Veg Chinese Spring Dosa,Dosa,,,0,No
Shrimp Jalfrezi,Shrimp Curries,,,0,No
Gulab Jamun,Dessert,,,0,No
Chennai Chicken 65,Non-Vegetarian Appetizers,,Chennai_Chicken_65.jpg,1,Yes
Shrimp Korma,Shrimp Curries,,,0,No
Cheese Masala Dosa,Dosa,,,0,No
Chicken Tikka Dosa,Dosa,,,0,No
Channa Poori,Bread Corner,,Channa_Poori.jpg,1,Yes
Plain Uttapam,Dosa,,,0,No
Shrimp Noodles,Indo-Chinese,,,0,No
Potato Masala (8oz),Extras,,,0,No
Dal Makhani,Vegetarian Curries,,,0,No
Shrimp Biriyani,Rice Corner,,,0,No
Ghee Dosa,Dosa,,,0,No
Curd Rice,Rice Corner,,Curd_Rice.jpg,1,Yes
Malai Kebab,Non-Vegetarian Appetizers,,Malai_Kebab.jpg,1,Yes
Sprite (Fountain),Soft Drinks,,Sprite_Fountain.jpg,1,Yes
Chennai Masala Paper Roast,Dosa,,,0,No
Idly Sambar,Vegetarian Appetizers,,Idly_Sambar.jpg,1,Yes
Fanta (Fountain),Soft Drinks,,Fanta_Fountain.png,1,Yes
Lamb Saag,Lamb Curries,,,0,No
Chole Dosa,Dosa,,,0,No
Shrimp Vindaloo,Shrimp Curries,,,0,No
Pickle,Extras,,,0,No
Fish  Fry (Pompano),Non-Vegetarian Appetizers,,Fish__Fry_Pompano.jpg,1,Yes
Navrathan Korma,Vegetarian Curries,,,0,No
Roti,Bread Corner,,Roti.jpg,1,Yes
Lamb Curry,Lamb Curries,,,0,No
Assorted Bread Basket,Bread Corner,,Assorted_Bread_Basket.jpg,1,Yes
Tandoori Chicken,Non-Vegetarian Appetizers,,Tandoori_Chicken.png,1,Yes
Bhindi Masala,Vegetarian Curries,,,0,No
Healthy Lamb Sheek Kebab Combo,Healthy Combos,,Healthy_Lamb_Sheek_Kebab_Combo.jpg,1,Yes
Chicken Biriyani,Rice Corner,,Chicken_Biriyani.png,1,Yes
Chettinad Chicken Curry,Chicken Curries,,,0,No
Parota w/ Veg Curry,Bread Corner,,Parota_w_Veg_Curry.jpg,1,Yes
Dal Tadka,Vegetarian Curries,,,0,No
Chilli Panner (Dry),Indo-Chinese,,,0,No
Vegetarian Combo,Lunch Combo,,Vegetarian_Combo.jpg,1,Yes
Wheat Flour Dosa,Dosa,,,0,No
Mixed Vegetable Bhajji,Vegetarian Appetizers,,Mixed_Vegetable_Bhajji.jpg,1,Yes
Onion Tomato Uttapam,Dosa,,,0,No
Egg Dosa,Dosa,,,0,No
Papad,Extras,,,0,No
Shrimp Rogan Josh,Shrimp Curries,,,0,No
Goat Biriyani,Rice Corner,,,0,No
Malai Kofta,Vegetarian Curries,,,0,No
Lamb Sheek Kebab,Non-Vegetarian Appetizers,,Lamb_Sheek_Kebab.jpg,1,Yes
Vegetable Samosa,Vegetarian Appetizers,,Vegetable_Samosa.jpg,1,Yes
Shrimp Curry,Shrimp Curries,,,0,No
Karaikudi Dosa,Dosa,,,0,No
Vegetable Jalfrezi,Vegetarian Curries,,,0,No
Shrimp Tikka Masala,Shrimp Curries,,,0,No
Mini Dosa,Kids Corner,,Mini_Dosa.jpg,1,Yes
Masala Vada,Vegetarian Appetizers,,Masala_Vada.jpg,1,Yes
Eggplant Curry (Andhra Style),Vegetarian Curries,,,0,No
Medu Vada,Vegetarian Appetizers,,Medu_Vada.jpg,1,Yes
Extra Parota,Bread Corner,,,0,No
Lamb Kheema Dosa,Dosa,,,0,No
Coke (Bottle),Soft Drinks,,Coke_Bottle.jpg,1,Yes
Potato Masala @Table,Extras,,,0,No
Gulab Jamun w/ Vanilla Ice Cream,Dessert,,,0,No
Mushroom Saag,Vegetarian Curries,,,0,No
Mysore Masala Dosa,Dosa,,Mysore_Masala_Dosa.jpg,1,Yes
Yogurt,Extras,,,0,No
Chutney (8oz),Extras,,,0,No
Onion Chilli Uttapam,Dosa,,,0,No
Rasam Vada,Vegetarian Appetizers,,Rasam_Vada.jpg,1,Yes
Chicken Tikka,Non-Vegetarian Appetizers,,Chicken_Tikka.jpg,1,Yes
Brownie w/ Vanilla Ice Cream,Dessert,,,0,No
Poori Masala,Bread Corner,,Poori_Masala.jpg,1,Yes
Rava Masala Dosa,Dosa,,Rava_Masala_Dosa.jpg,1,Yes
Chicken Strips W/ Fries,Kids Corner,,Chicken_Strips_W_Fries.jpg,1,Yes
Chicken (Butter Masala) Makhani,Chicken Curries,,,0,No
Lemon Rice,Rice Corner,,Lemon_Rice.jpg,1,Yes
Egg Fried Rice,Indo-Chinese,,,0,No
Chicken Fried Rice,Indo-Chinese,,,0,No
Ice Cream,Dessert,,,0,No
Chilli Panner (Gravy),Indo-Chinese,,,0,No
Lamb Jalfrezi,Lamb Curries,,,0,No
Goat Chukka,Lamb Curries,,,0,No
Rasamalai (2 Pieces),Dessert,,,0,No
Spinach Masala Dosa,Dosa,,,0,No
Vegetable Uttapam,Dosa,,,0,No
Raita,Extras,,,0,No
